"filename", "language", "YAML", "Markdown", "Ruby", "HTML", "JSON", "MS SQL", "JavaScript", "SCSS", "vue", "JSON with Comments", "XML", "TypeScript", "Shell Script", "Docker", "Ignore", "Properties", "TOML", "Makefile", "comment", "blank", "total"
"/home/moura/projetos/chatwoot/chatwoot/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 2, 17, 63
"/home/moura/projetos/chatwoot/chatwoot/README.md", "Markdown", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 141
"/home/moura/projetos/chatwoot/chatwoot/Rakefile", "Ruby", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 7
"/home/moura/projetos/chatwoot/chatwoot/SECURITY.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57
"/home/moura/projetos/chatwoot/chatwoot/__mocks__/fileMock.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/moura/projetos/chatwoot/chatwoot/app.json", "JSON", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"/home/moura/projetos/chatwoot/chatwoot/app/actions/contact_identify_action.rb", "Ruby", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 34, 140
"/home/moura/projetos/chatwoot/chatwoot/app/actions/contact_merge_action.rb", "Ruby", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 63
"/home/moura/projetos/chatwoot/chatwoot/app/assets/config/manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"/home/moura/projetos/chatwoot/chatwoot/app/assets/javascripts/secretField.js", "JavaScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 46
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/application.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/base/_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 97
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/base/_layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/base/_lists.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/base/_tables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 72
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/base/_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_app-container.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_attributes.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_cells.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_field-unit.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_flashes.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_form-actions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_main-content.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_reports.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/components/_search.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/custom_styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/library/_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/library/_data-label.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/library/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 62
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/reset/_normalize.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 94, 449
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/utilities/_text-color.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/moura/projetos/chatwoot/chatwoot/app/assets/stylesheets/administrate/utilities/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 91
"/home/moura/projetos/chatwoot/chatwoot/app/builders/account_builder.rb", "Ruby", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 78
"/home/moura/projetos/chatwoot/chatwoot/app/builders/agent_builder.rb", "Ruby", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 55
"/home/moura/projetos/chatwoot/chatwoot/app/builders/campaigns/campaign_conversation_builder.rb", "Ruby", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 44
"/home/moura/projetos/chatwoot/chatwoot/app/builders/contact_inbox_builder.rb", "Ruby", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 20, 106
"/home/moura/projetos/chatwoot/chatwoot/app/builders/contact_inbox_with_contact_builder.rb", "Ruby", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 111
"/home/moura/projetos/chatwoot/chatwoot/app/builders/conversation_builder.rb", "Ruby", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 41
"/home/moura/projetos/chatwoot/chatwoot/app/builders/csat_surveys/response_builder.rb", "Ruby", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/home/moura/projetos/chatwoot/chatwoot/app/builders/messages/facebook/message_builder.rb", "Ruby", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 20, 158
"/home/moura/projetos/chatwoot/chatwoot/app/builders/messages/instagram/base_message_builder.rb", "Ruby", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40, 181
"/home/moura/projetos/chatwoot/chatwoot/app/builders/messages/instagram/message_builder.rb", "Ruby", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 43
"/home/moura/projetos/chatwoot/chatwoot/app/builders/messages/instagram/messenger/message_builder.rb", "Ruby", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 34
"/home/moura/projetos/chatwoot/chatwoot/app/builders/messages/message_builder.rb", "Ruby", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 33, 176
"/home/moura/projetos/chatwoot/chatwoot/app/builders/messages/messenger/message_builder.rb", "Ruby", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 81
"/home/moura/projetos/chatwoot/chatwoot/app/builders/notification_builder.rb", "Ruby", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 40
"/home/moura/projetos/chatwoot/chatwoot/app/builders/notification_subscription_builder.rb", "Ruby", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 35
"/home/moura/projetos/chatwoot/chatwoot/app/builders/v2/report_builder.rb", "Ruby", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 139
